_input_part_number,_status,_error,KeyValuePairs
28823-7,ok_ata,,"Part No.: 28823-7 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: 737-500, 767-300EREM, 777-300, 767-200, 747-400ERF, 737-700C, 757-300, 747-400PC, 777-300ER, 767-200ERT, 757-300EM, 737-600, 767-200SF, 757-200EM, 767-200ER, 737-300, 767-200EREM, 747-400, 777-200, 737-800, BBJ 737-800, 737-700, 767-200ERSF, 757-200, 737-900ER, 767-300BCF, 767-300ER, 737-900, 767-300, 767-400ER, 757-200PC, 737-300QC, 747-400F, 767-200EM, 777-200ER, 757-200PCF, BBJ 737-700 | Description: COMPRESSOR ASSY | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b747-400/aircraft-systems-38/28823-7/
---
Part No.: 28823-7 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: 737-500, 767-300EREM, 777-300, 767-200, 747-400ERF, 737-700C, 757-300, 747-400PC, 777-300ER, 767-200ERT, 757-300EM, 737-600, 767-200SF, 757-200EM, 767-200ER, 737-300, 767-200EREM, 747-400, 777-200, 737-800, BBJ 737-800, 737-700, 767-200ERSF, 757-200, 737-900ER, 767-300BCF, 767-300ER, 737-900, 767-300, 767-400ER, 757-200PC, 737-300QC, 747-400F, 767-200EM, 777-200ER, 757-200PCF, BBJ 737-700 | Description: COMPRESSOR ASSY | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b757/aircraft-systems-38/28823-7/
---
Part No.: 28823-7 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: BBJ 737-700, 777-200ER, 777-300, C-40B, 747-400ERF, C-32, 767-200, 737-700C, 777-300ER, 747-400PC, 767-200ERT, 757-300, 767-200EREM, 757-300EM, 737-600, 777-200, 747-400, 737-300, 757-200EM, 767-200ER, 767-200SF, 737-800, BBJ 737-800, 737-700, 767-200ERSF, 757-200, 767-300BCF, 757-200PC, 767-300ER, 767-400ER, 767-200EM, 747-400F, 737-900ER, 737 AEW&C, 737-900, 737-300QC, 767-300, 767-300EREM, 757-200PCF, C-40C, 737-500 | Description: COMPRESSOR ASSY | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b777/aircraft-systems-38/28823-7/
---
Part No.: 28823-7 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: 737-500, 767-300EREM, 777-300, 767-200, 747-400ERF, 737-700C, 757-300, 747-400PC, 777-300ER, 767-200ERT, 757-300EM, 737-600, 767-200SF, 757-200EM, 767-200ER, 737-300, 767-200EREM, 747-400, 777-200, 737-800, BBJ 737-800, 737-700, 767-200ERSF, 757-200, 737-900ER, 767-300BCF, 767-300ER, 737-900, 767-300, 767-400ER, 757-200PC, 737-300QC, 747-400F, 767-200EM, 777-200ER, 757-200PCF, BBJ 737-700 | Description: COMPRESSOR ASSY | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b737-classic/aircraft-systems-38/28823-7/
---
Part No.: 28823-7 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: 737-500, 767-300EREM, 777-300, 767-200, 747-400ERF, 737-700C, 757-300, 747-400PC, 777-300ER, 767-200ERT, 757-300EM, 737-600, 767-200SF, 757-200EM, 767-200ER, 737-300, 767-200EREM, 747-400, 777-200, 737-800, BBJ 737-800, 737-700, 767-200ERSF, 757-200, 737-900ER, 767-300BCF, 767-300ER, 737-900, 767-300, 767-400ER, 757-200PC, 737-300QC, 747-400F, 767-200EM, 777-200ER, 757-200PCF, BBJ 737-700 | Description: COMPRESSOR ASSY | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b737ng/aircraft-systems-38/28823-7/"
1001456-6,ok_ata,,"Part No.: 1001456-6 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: N/A | Description: FLOW CONTROL VALVE | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/embraer-erj190/aircraft-systems-21/1001456-6/
---
Part No.: 1001456-6 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: N/A | Description: FLOW CONTROL VALVE | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/embraer-erj190/aircraft-systems-24/1001456-6/
---
Part No.: 1001456-6 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: N/A | Description: FLOW CONTROL VALVE | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/embraer-erj170/aircraft-systems-21/1001456-6/
---
Part No.: 1001456-6 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: N/A | Description: FLOW CONTROL VALVE | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/embraer-erj170/aircraft-systems-24/1001456-6/"
921146A09R00,no_table_ata_or_component,,
1002793-2,ok_ata,,Part No.: 1002793-2 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: N/A | Description: PRECOOLER | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/embraer-erj190/aircraft-systems-36/1002793-2/
285A1600-6,ok_ata,,"Part No.: 285A1600-6 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: 737-800, 737-600, 737-900, BBJ 737-700, 737-700, 737-900ER, 737-700C, BBJ 737-800 | Description: ELECTRONIC UNIT | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b737ng/aircraft-systems-32/285a1600-6/"
35-0D5-1003,ok_ata,,"Part No.: 35-0D5-1003 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: N/A | Description: LOUDSPEAKER-AMPLIFIER,COCKPIT | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/airbus-a320/aircraft-systems-31/35-0d5-1003/"
71784,ok_ata,,"Part No.: 71784 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: 737-900ER, BBJ 737-800, 737-700, 737 MAX 7, 737-700C, BBJ 737-700, 737-600, 737 MAX 9, 737-900, 737-800, 737 MAX 8 | Description: VALVE ASSY | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b737ng/aircraft-systems-32/71784/"
4952447,ok_ata,,"Part No.: 4952447 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: N/A | Description: VALVE ASSY BLEED AIR | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/embraer-erj170/aircraft-systems-36/4952447/
---
Part No.: 4952447 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: N/A | Description: VALVE ASSY, BLEED AIR | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/embraer-erj190/aircraft-systems-36/4952447/"
OUTRIGHT CORE CHARGE,no_table_ata_or_component,,
725Z3398-121,no_table_ata_or_component,,
